sector,audit_type,category,latitude,longitude,intensity
Shepperton,Logistical_Sprawl,asphalt_surface,51.4077,-0.4652,197.4085
Shepperton,Logistical_Sprawl,asphalt_surface,51.4061,-0.4654,67.3997
Shepperton,Logistical_Sprawl,asphalt_surface,51.4067,-0.4631,231.9464
Shepperton,Logistical_Sprawl,asphalt_surface,51.4061,-0.4662,451.0154
Shepperton,Logistical_Sprawl,asphalt_surface,51.4059,-0.4464,595.6907
Shepperton,Logistical_Sprawl,asphalt_surface,51.3970,-0.4525,97.4695
Shepperton,Logistical_Sprawl,asphalt_surface,51.3966,-0.4525,98.2682
Shepperton,Logistical_Sprawl,asphalt_surface,51.4086,-0.4663,1701.0672
Shepperton,Logistical_Sprawl,asphalt_surface,51.3966,-0.4772,230.8502
Shepperton,Logistical_Sprawl,asphalt_surface,51.4030,-0.4664,95.9525
Shepperton,Logistical_Sprawl,asphalt_surface,51.4034,-0.4695,1488.9969
Shepperton,Logistical_Sprawl,asphalt_surface,51.4046,-0.4743,516.7890
Shepperton,Logistical_Sprawl,asphalt_surface,51.4053,-0.4738,378.4898
Shepperton,Logistical_Sprawl,asphalt_surface,51.4045,-0.4729,173.9603
Shepperton,Logistical_Sprawl,asphalt_surface,51.4116,-0.4733,2593.0025
Shepperton,Logistical_Sprawl,asphalt_surface,51.4082,-0.4731,431.3760
Shepperton,Logistical_Sprawl,asphalt_surface,51.4101,-0.4691,3368.2532
Shepperton,Logistical_Sprawl,asphalt_surface,51.4053,-0.4656,681.1706
Shepperton,Logistical_Sprawl,asphalt_surface,51.4070,-0.4679,254.0901
Shepperton,Logistical_Sprawl,asphalt_surface,51.4067,-0.4610,52.3840
Shepperton,Logistical_Sprawl,asphalt_surface,51.4114,-0.4745,434.5930
Longcross,Logistical_Sprawl,asphalt_surface,51.3746,-0.6028,169.9884
Longcross,Logistical_Sprawl,asphalt_surface,51.3812,-0.5890,572.4887
Longcross,Logistical_Sprawl,asphalt_surface,51.3812,-0.5926,1031.3356
Longcross,Logistical_Sprawl,asphalt_surface,51.3827,-0.5912,128.8139
Longcross,Logistical_Sprawl,asphalt_surface,51.3771,-0.5901,108.0747
Longcross,Logistical_Sprawl,asphalt_surface,51.3817,-0.5937,369.5842
Longcross,Logistical_Sprawl,asphalt_surface,51.3822,-0.5789,172.0690
Longcross,Logistical_Sprawl,asphalt_surface,51.3829,-0.5898,10.0940
Longcross,Logistical_Sprawl,asphalt_surface,51.3827,-0.5898,14.7239
Longcross,Logistical_Sprawl,asphalt_surface,51.3824,-0.5931,73.2056
Longcross,Logistical_Sprawl,asphalt_surface,51.3824,-0.5914,50.8151
Longcross,Logistical_Sprawl,asphalt_surface,51.3805,-0.5938,232.3707
Longcross,Energy_Displacement,pole,51.3852,-0.5980,50.0000
Longcross,Energy_Displacement,pole,51.3856,-0.6003,50.0000
Longcross,Energy_Displacement,pole,51.3860,-0.6026,50.0000
Longcross,Energy_Displacement,pole,51.3864,-0.6042,50.0000
Longcross,Energy_Displacement,pole,51.3863,-0.6043,50.0000
Longcross,Energy_Displacement,pole,51.3860,-0.6026,50.0000
Longcross,Energy_Displacement,pole,51.3855,-0.6003,50.0000
Longcross,Energy_Displacement,pole,51.3851,-0.5980,50.0000
Longcross,Energy_Displacement,pole,51.3873,-0.6089,50.0000
Longcross,Energy_Displacement,pole,51.3869,-0.6074,50.0000
Longcross,Energy_Displacement,generator,51.3910,-0.5868,50.0000
