system:time_start,NDVI
"Jan 7, 2018",0.085
"Jan 17, 2018",0.636
"Jan 17, 2018",0.636
"Jan 19, 2018",0.654
"Jan 19, 2018",0.654
"Jan 22, 2018",
"Feb 1, 2018",0.697
"Feb 6, 2018",0.587
"Feb 11, 2018",0.553
"Feb 11, 2018",0.545
"Feb 16, 2018",0.652
"Apr 19, 2018",0.842
"Apr 19, 2018",0.844
"Apr 22, 2018",0.854
"Apr 22, 2018",0.864
"May 4, 2018",0.865
"May 7, 2018",0.885
"May 7, 2018",0.878
"May 14, 2018",0.653
"May 14, 2018",0.661
"May 17, 2018",0.58
"May 17, 2018",0.581
"May 19, 2018",0.535
"May 19, 2018",0.536
"May 22, 2018",0.509
"Jun 3, 2018",0.641
"Jun 6, 2018",
"Jun 8, 2018",0.201
"Jun 11, 2018",0.761
"Jun 18, 2018",0.739
"Jun 18, 2018",0.738
"Jun 21, 2018",0.747
"Jun 26, 2018",0.473
"Jun 26, 2018",0.477
"Jun 28, 2018",0.431
"Jun 28, 2018",0.422
"Jul 3, 2018",0.37
"Jul 3, 2018",0.373
"Jul 8, 2018",0.35
"Jul 11, 2018",0.336
"Jul 13, 2018",0.308
"Jul 28, 2018",0.334
"Aug 2, 2018",0.312
"Aug 2, 2018",0.313
"Aug 7, 2018",0.307
"Aug 7, 2018",0.308
"Sep 1, 2018",0.697
"Sep 1, 2018",0.701
"Sep 6, 2018",0.734
"Sep 24, 2018",0.754
"Sep 24, 2018",0.756
"Sep 26, 2018",0.739
"Sep 26, 2018",0.743
"Sep 29, 2018",0.733
"Oct 1, 2018",0.741
"Oct 1, 2018",0.748
"Oct 9, 2018",0.761
"Oct 9, 2018",0.764
"Oct 16, 2018",0.443
"Oct 16, 2018",0.463
"Oct 19, 2018",0.781
"Oct 19, 2018",0.788
"Oct 21, 2018",0.774
"Oct 21, 2018",0.782
"Oct 21, 2018",0.783
"Oct 21, 2018",0.78
"Oct 24, 2018",0.755
"Oct 29, 2018",0.799
"Oct 29, 2018",0.796
"Oct 31, 2018",0.766
"Nov 10, 2018",0.759
"Nov 13, 2018",0.775
"Nov 13, 2018",0.771
"Nov 18, 2018",0.776
"Nov 18, 2018",0.775
"Nov 30, 2018",0.733
"Nov 30, 2018",0.732
"Dec 20, 2018",
"Jan 17, 2019",0.793
"Jan 17, 2019",0.781
"Jan 22, 2019",0.768
"Feb 23, 2019",0.685
"Feb 23, 2019",0.699
"Feb 26, 2019",0.734
"Feb 26, 2019",0.734
"Mar 5, 2019",0.668
"Mar 25, 2019",0.677
"Mar 30, 2019",0.818
"Mar 30, 2019",0.819
"Apr 19, 2019",0.725
"May 14, 2019",0.755
"Jun 28, 2019",
"Jul 16, 2019",0.533
"Jul 23, 2019",0.557
"Jul 23, 2019",0.554
"Aug 20, 2019",
"Aug 22, 2019",0.638
"Aug 22, 2019",0.639
"Aug 25, 2019",0.614
"Aug 25, 2019",0.62
"Aug 27, 2019",0.582
"Aug 27, 2019",0.575
"Sep 4, 2019",0.607
"Sep 4, 2019",0.605
"Sep 14, 2019",0.56
"Sep 14, 2019",0.559
"Sep 19, 2019",0.524
"Sep 19, 2019",0.525
"Sep 21, 2019",0.512
"Sep 21, 2019",0.516
"Nov 10, 2019",0.796
"Nov 13, 2019",0.806
"Nov 18, 2019",0.771
"Nov 18, 2019",0.769
"Nov 30, 2019",0.804
"Dec 3, 2019",0.162
"Dec 8, 2019",0.771
"Dec 8, 2019",0.772
"Dec 23, 2019",0.761
"Dec 23, 2019",0.761
"Dec 25, 2019",0.767
"Dec 25, 2019",0.766
"Dec 30, 2019",0.706
"Dec 30, 2019",0.705
"Jan 9, 2020",0.725
"Jan 19, 2020",0.747
