Distance_m,Pre_LST_mean,Post_LST_mean
0,35.24100160095519,31.178572155947823
25,34.77502874288429,30.89059894434826
75,33.376686998574804,29.898220601507557
125,31.551948549512687,28.64571141289818
175,30.252908176759426,27.76680183159311
225,29.59004717862311,27.166857004808605
275,29.47582208561521,26.956022223997568
325,29.4873042620815,27.13530169718544
375,29.25914521955012,26.59408617437487
425,28.922095771166326,26.02578091980905
475,28.7832731472024,26.03908131725525
525,28.880357264588586,26.53917203076861
575,29.076706907543187,26.971385624655518
625,29.101678140252258,26.811674254120938
675,29.15378348646548,26.65876964473935
725,29.187087259931562,26.517170055012183
775,29.228478782152248,26.389348738712464
