year,Impact_NDVI,Control_NDVI,delta
2014,0.7158507576960417,0.7450510465823288,-0.029200288886287118
2015,0.4554107477782425,0.7668627602923673,-0.31145201251412485
2016,0.5495407328530297,0.7713798694056322,-0.22183913655260246
2017,0.6409547975133997,0.782836278818983,-0.1418814813055833
2018,0.5714878567560635,0.7206812478923689,-0.14919339113630536
2019,0.6134540344985927,0.7486150373212127,-0.13516100282262
2020,0.6210648081538535,0.7490462306883171,-0.12798142253446365
2021,0.6098056863488802,0.7466008247266533,-0.13679513837777313
2022,0.578786164779592,0.728217333113809,-0.149431168334217
2023,0.6435631434614163,0.7455639011768869,-0.10200075771547057
2024,0.6750240404499622,0.7766931243450291,-0.1016690838950669
2025,0.6282010469651474,0.7380576340635675,-0.10985658709842006
