donor,Weight_NDVI,Weight_LST
D01,0.05878568508295149,0.24860993174925647
D02,0.0,0.2250073540076175
D03,0.0,1.0262721935435243e-11
D04,9.607432907199558e-17,9.212372369018342e-12
D05,0.5811573939908874,0.051312991028766186
D06,0.0,1.4931216184852117e-12
D07,0.0,0.17344762936062266
D08,0.20240736958330532,0.0
D10,9.430358600603625e-18,0.07481217051053778
D11,2.08696329429027e-17,8.95131837596966e-12
D12,8.106729828847875e-17,0.0
D13,0.0,4.835965699170719e-12
D14,0.0,1.3507011536763768e-11
D15,0.15764955134285594,0.0
D16,0.0,7.991483777532808e-12
D17,0.0,0.2268099232968884
D18,8.219231957443351e-18,6.418616499771754e-12
D19,0.0,0.0
D20,0.0,1.484768910042739e-12
